key,match_id,season,block,cutoff,date,home_key,away_key,e_home,e_away,e_min,thin_at,treated,incumbent_widened,p_home_B,p_draw_B,p_away_B,p_home_A,p_draw_A,p_away_A,p_home_corpus,p_draw_corpus,p_away_corpus,y,rps_B,rps_A,delta,delta_vs_corpus,max_abs_dp_vs_corpus
2019-11-02|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,04d00848ff44aace,2019/20,2019/20|2019W44,2019-11-02,2019-11-02,sheffield_united,burnley,9.16358253,48.07125055,9.16358253,10;12,True,False,0.45274287,0.31568428,0.23157285,0.42968988,0.32760142,0.2427087,0.45274287,0.31568428,0.23157285,0,0.17655817559647968,0.19208057301505221,0.015522397418572531,0.015522397418572531,0.0
2020-09-12|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,c02f65d9e9d10ca3,2020/21,2020/21|2020W37,2020-09-12,2020-09-12,liverpool,leeds,47.67373039,0.0,0.0,1;3;5;8;10;12,False,True,0.81420478,0.13032164,0.05547357,0.81420478,0.13032164,0.05547357,0.81420478,0.13032164,0.05547357,0,0.018798590926432407,0.018798590926432407,0.0,0.0,0.0
2020-09-14|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,844b9fe520559023,2020/21,2020/21|2020W38,2020-09-14,2020-09-19,leeds,fulham,0.99620914,12.71912156,0.99620914,1;3;5;8;10;12,False,True,0.54240688,0.22662846,0.23096466,0.54240688,0.22662846,0.23096466,0.54240688,0.22662846,0.23096466,0,0.13136806882012497,0.13136806882012497,0.0,0.0,0.0
2020-09-21|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,ba73e95238660fee,2020/21,2020/21|2020W39,2020-09-21,2020-09-27,sheffield_united,leeds,25.46586954,1.97926306,1.97926306,3;5;8;10;12,False,True,0.51357022,0.2333153,0.25311448,0.51357022,0.2333153,0.25311448,0.51357022,0.2333153,0.25311448,2,0.4107961754282593,0.4107961754282593,0.0,0.0,0.0
2020-09-28|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,24a1e8dc78b3c8a6,2020/21,2020/21|2020W40,2020-09-28,2020-10-03,leeds,man_city,2.95122913,48.38834184,2.95122913,3;5;8;10;12,False,True,0.13514231,0.14717656,0.71768112,0.13514231,0.14717656,0.71768112,0.13514231,0.14717656,0.71768112,1,0.2666648241551065,0.2666648241551065,0.0,0.0,0.0
2020-10-19|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,2dd2e137c8006085,2020/21,2020/21|2020W43,2020-10-19,2020-10-19,leeds,wolves,3.80592335,37.87798679,3.80592335,5;8;10;12,False,True,0.35884383,0.26175765,0.37939852,0.35884383,0.26175765,0.37939852,0.35884383,0.26175765,0.37939852,2,0.2569575456536296,0.2569575456536296,0.0,0.0,0.0
2020-10-19|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,d5390a443ba69a87,2020/21,2020/21|2020W43,2020-10-19,2020-10-23,aston_villa,leeds,29.16674636,3.80592335,3.80592335,5;8;10;12,False,True,0.40667183,0.23570059,0.35762758,0.40667183,0.23570059,0.35762758,0.40667183,0.23570059,0.35762758,2,0.28901215164610267,0.28901215164610267,0.0,0.0,0.0
2020-11-02|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,7346c3891454acce,2020/21,2020/21|2020W45,2020-11-02,2020-11-02,leeds,leicester,5.66102323,48.89699654,5.66102323,8;10;12,False,True,0.37812146,0.24645741,0.37542112,0.37812146,0.24645741,0.37542112,0.37812146,0.24645741,0.37542112,2,0.26653730168150425,0.26653730168150425,0.0,0.0,0.0
2020-11-02|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,dcb4282672433ef0,2020/21,2020/21|2020W45,2020-11-02,2020-11-07,crystal_palace,leeds,49.86674786,5.66102323,5.66102323,8;10;12,True,False,0.31948931,0.26227449,0.41823619,0.32488929,0.26867984,0.40643087,0.31948931,0.26227449,0.41823619,0,0.319008159097358,0.31048026142283053,-0.008527897674527496,-0.008527897674527496,0.0
2020-11-21|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,c86d3b3845b82cfa,2020/21,2020/21|2020W47,2020-11-21,2020-11-22,leeds,arsenal,7.39873073,49.30770628,7.39873073,8;10;12,True,False,0.24693613,0.21234399,0.54071987,0.26993811,0.21787344,0.51218845,0.24693613,0.21234399,0.54071987,1,0.1766777204632956,0.1676017957718873,-0.009075924691408305,-0.009075924691408305,0.0
2020-11-23|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,4aa76f75dc8f327e,2020/21,2020/21|2020W48,2020-11-23,2020-11-28,everton,leeds,49.8841274,8.36878592,8.36878592,10;12,True,False,0.54449612,0.22005005,0.23545383,0.5143521,0.22726513,0.25838277,0.54449612,0.22005005,0.23545383,2,0.4405034353783617,0.4072770993036414,-0.03322633607472025,-0.03322633607472025,0.0
2020-11-30|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,eb61ac2e575f8e24,2020/21,2020/21|2020W49,2020-11-30,2020-12-05,chelsea,leeds,50.28949405,9.25448299,9.25448299,10;12,True,False,0.67027254,0.1823541,0.14737336,0.61940405,0.2001021,0.18049385,0.67027254,0.1823541,0.14737336,0,0.0652195525578706,0.0887156535221125,0.0234961009642419,0.0234961009642419,0.0
