season,cutoff_label,cutoff,treated_clubs,n_treated_clubs,trps_control,trps_treatment,delta_trps,wtrps_control,wtrps_treatment,delta_wtrps,mc_se_paired,identical,sampler_digest_control,sampler_digest_treatment,substantive_digest_control,substantive_digest_treatment,parity_digest_simretro,provisional_control,provisional_treatment,effective_posterior_control,effective_posterior_treatment,tally_sha256,cov50_control,cov90_control,cov50_treatment,cov90_treatment,cov50_treated_control,cov90_treated_control,cov50_treated_treatment,cov90_treated_treatment,realised_hash
2022/23,MW6,2022-09-16,nottm_forest,1,0.12954617298026316,0.12884919935526315,-0.0006969736250000136,0.13097421003749998,0.130684028475,-0.0002901815624999915,8.704730803336637e-05,False,cdc43b177dc71894387177e2c7c6b64f2d760f2fd7fb0df2ed3be234f5852755,0759a299bd0333c1fab7a0293a0149e58b9028f2cb248c8ac1af9d87ec3d7c38,d7f3a46071b0cb20aacf53f8499a84d106effa1ff6113fa21d5e1531a4ee5eb9,5d3a8b8414d0ead54ae5d0dab51109bfea2dc5e1700714889700a99d2fffb272,d7f3a46071b0cb20aacf53f8499a84d106effa1ff6113fa21d5e1531a4ee5eb9,,nottm_forest,a395c291e40e8afc87b712785e64fa966a5148161bd2c0c4a2d41fce65b3bc6a,902015d2fb3727d449a166a76067824487f0e78b1f2bef87b25c9f7b7e41a161,6250d31efbe2121bc552882d4f0dc1050714528e0229e203f34cc5129f33da99,0.25,0.7,0.25,0.7,0.0,1.0,0.0,1.0,d43cebb39b4c3fa8c7564d509f6e13647ab1d32f58c9d5882365ef67144c463e
2022/23,MW10,2022-10-24,,0,0.12115619517763156,0.12115619517763156,0.0,0.11404777054999998,0.11404777054999998,0.0,,True,5890d293dd7221211114f30b9af750f7db267c5b8940c63b640d317f32bb69bc,5890d293dd7221211114f30b9af750f7db267c5b8940c63b640d317f32bb69bc,8898decdcfa5d528e3146f396249b65ec951eac23302d2615b8d253293f1d9fe,8898decdcfa5d528e3146f396249b65ec951eac23302d2615b8d253293f1d9fe,8898decdcfa5d528e3146f396249b65ec951eac23302d2615b8d253293f1d9fe,,,f42e7a72f2a82f6f6b9947a3f8558a71a29185ae41541d164421c899c2ca3c99,f42e7a72f2a82f6f6b9947a3f8558a71a29185ae41541d164421c899c2ca3c99,571c5b6cab1d25f2fcee310e47c9b24e5b0c95e333e4dd32f62f82fb39027c7e,0.25,0.7,0.25,0.7,,,,,d43cebb39b4c3fa8c7564d509f6e13647ab1d32f58c9d5882365ef67144c463e
2022/23,MW19,2023-01-23,,0,0.06750688566776315,0.06750688566776315,0.0,0.06948592451249999,0.06948592451249999,0.0,,True,c2ddf4b70c3088bdfe9256fc0295a4b1f6826815ba38546fbd156d74a284abb8,c2ddf4b70c3088bdfe9256fc0295a4b1f6826815ba38546fbd156d74a284abb8,c16e00aa37fe63c9d57fbb7051d5def130b658aaeb94f4aa8e255899bcf419da,c16e00aa37fe63c9d57fbb7051d5def130b658aaeb94f4aa8e255899bcf419da,c16e00aa37fe63c9d57fbb7051d5def130b658aaeb94f4aa8e255899bcf419da,,,93e7bdb92275640b0323a8f9fd06887047ed8173d16724cef874c89a6a440ef6,93e7bdb92275640b0323a8f9fd06887047ed8173d16724cef874c89a6a440ef6,9b32d246bc8153be0b7ee7e3276913fb3193b1e4e7ceeddaae865bc4c9a23688,0.45,0.9,0.45,0.9,,,,,d43cebb39b4c3fa8c7564d509f6e13647ab1d32f58c9d5882365ef67144c463e
2023/24,MW0,2023-08-11,sheffield_united,1,0.08254243549671053,0.08426582305592106,0.0017233875592105319,0.0639046632625,0.0650805568625,0.0011758936000000053,8.650693325911784e-05,False,00d32a1b7711e56a3fd1c6a64e986dd8eaf7354d6594651943e00b604d218b0f,b403a8f7305d9ec7a08a073bc5e04fe2a4a927bc24d8d77936ae9ca2e75173ae,dcb433a74b6945c1c830b5f0bb8671276744bea5e6b0f7f6060200a179e63f65,18e09c84c62d391e7ff281d00e456d1ee06e0851837ee4173d886e9e7b8eb18e,dcb433a74b6945c1c830b5f0bb8671276744bea5e6b0f7f6060200a179e63f65,brighton;luton,brighton;luton;sheffield_united,c8898e64ae36ca5f5e7202fd4ccbf3c4d3f4c790e4e41823da82a016dbe98382,25c93ccf510534a97192ca60cb693aa242febe62194d4c886008ffdcd1f4a9a5,cf03ace38b955f7f50d7ca200aae17f2d75a0784c80ff418ead07fe56382e103,0.6,0.85,0.55,0.85,0.0,0.0,0.0,0.0,562da8bf66af2b32ac48ee4d9a61fcad4515ca437264ba21e73350b040fbfe35
2023/24,MW6,2023-10-02,luton,1,0.06655444176973685,0.06606411202631579,-0.0004903297434210585,0.04114839158749999,0.041990731075,0.0008423394875000101,5.875552783975186e-05,False,6c2a032545493592ad3d059a669cb3362ed68895b1da17d40470de99a17e703d,ab24d91cf23b802e75a1ba5bd73bea6923e332507917f5cab2d8647cc6917c1b,cd3e0c75d8200d02f58b93295ad1205ad93532e312b25a82ede07fab19cc706e,7b4b03cbadc9215f51329274936db6d0e02bbf0db9001f34f17634dc7b011c88,cd3e0c75d8200d02f58b93295ad1205ad93532e312b25a82ede07fab19cc706e,,luton,6805b6d8bfc2d0d33e0127c27faa74f9e693d35a60eb5c39a5ccf962fc515d0b,4f2c13cd70afcb3b86fa3fed44ce9ed6a119a2cd35dc703d3d289dd288f04c19,cc5cb4c4994838ed7c0dc8e4bc834a96a2958c88e8dcd434bcfdecaa25b06b18,0.55,0.9,0.6,0.9,1.0,1.0,1.0,1.0,562da8bf66af2b32ac48ee4d9a61fcad4515ca437264ba21e73350b040fbfe35
2023/24,MW10,2023-11-04,luton,1,0.06654178233223684,0.06594545793092105,-0.0005963244013157953,0.0353658706875,0.0355091735125,0.0001433028249999968,5.1523524307014655e-05,False,a6f914bfabef216ce62cf70c783547ee9d5cb78f5aba19322bf57c576036be6a,535d7ac61668939faccdb6beb20c59d891895606b2285840a4a806aec20e30d5,0bef65d58bcf204ad9131a46ae0bb0374e99fd47a6b7736ef775a45f1d6ca226,14294b144a2143310d7cf6a2561b6623b2f0ba88079d5eb19b5cf45a3d593050,0bef65d58bcf204ad9131a46ae0bb0374e99fd47a6b7736ef775a45f1d6ca226,,luton,e68f08ea9c5030e180b0325cc31f57de561528a964fc7793f80338cf5fe0bf08,0f90a60bb6222bbe44ec7cc43caeb748d80a6291d317c1e0c4fcb741d1eeba59,dbc9cde6dfb6f14d843f888a140db32699a60184a81c98bf83d29440a51aa921,0.6,0.85,0.6,0.85,1.0,1.0,1.0,1.0,562da8bf66af2b32ac48ee4d9a61fcad4515ca437264ba21e73350b040fbfe35
2023/24,MW19,2024-01-01,,0,0.04631142776973684,0.04631142776973684,0.0,0.0274516481875,0.0274516481875,0.0,,True,8bacded4ffa04f822cc1e6ea26a36db713cf3e1281c1a85906ccad6930fe5c50,8bacded4ffa04f822cc1e6ea26a36db713cf3e1281c1a85906ccad6930fe5c50,646a902208c4785caa476c86d94e4b92b334c39a7d637dd60df1128c8c4585ed,646a902208c4785caa476c86d94e4b92b334c39a7d637dd60df1128c8c4585ed,646a902208c4785caa476c86d94e4b92b334c39a7d637dd60df1128c8c4585ed,,,acd6a02f3d38d98344fd2e7baf87a5f52b2e79cb5ff00f98f54bcb7ee4bc54f7,acd6a02f3d38d98344fd2e7baf87a5f52b2e79cb5ff00f98f54bcb7ee4bc54f7,09432b75ab195f415a9839a7491cd7a9ae57b850eca24debda79137cc21d735b,0.6,0.9,0.6,0.9,,,,,562da8bf66af2b32ac48ee4d9a61fcad4515ca437264ba21e73350b040fbfe35
2024/25,MW0,2024-08-16,,0,0.11607500240131578,0.11607500240131578,0.0,0.06837344148749999,0.06837344148749999,0.0,,True,6bdeee8e610b801652c1ba147ee2e630ab558885189118f9e2f3ab704912b8fe,6bdeee8e610b801652c1ba147ee2e630ab558885189118f9e2f3ab704912b8fe,a0ac52b35c3180f810b1caf5788256c4e704a269ab664c16d75f737af96b86c7,a0ac52b35c3180f810b1caf5788256c4e704a269ab664c16d75f737af96b86c7,a0ac52b35c3180f810b1caf5788256c4e704a269ab664c16d75f737af96b86c7,ipswich,ipswich,945dbbb45464414e94bbdd7050a1716c81bccab0868320b6f2d2c013467eb34b,945dbbb45464414e94bbdd7050a1716c81bccab0868320b6f2d2c013467eb34b,62dcf9a30be4265627e46af5271e3da59af433e2124b3d6944fcaf31d248b426,0.3,0.75,0.3,0.75,,,,,f1b392a162cd9be4a9c9f4e373d9b6305520d47e8ba65fa00d1eb90f0d81de35
2024/25,MW3,2024-09-14,,0,0.10229227697697368,0.10229227697697368,0.0,0.0652366901625,0.0652366901625,0.0,,True,f7396ece763f1d811edab9e0bfc018e62413f282866f33a2f8f343fd6b4d53f4,f7396ece763f1d811edab9e0bfc018e62413f282866f33a2f8f343fd6b4d53f4,0e6684c11b1eeac2b4b400289a55c2b97be3c3f6c2b28265dec7c280045c55cb,0e6684c11b1eeac2b4b400289a55c2b97be3c3f6c2b28265dec7c280045c55cb,0e6684c11b1eeac2b4b400289a55c2b97be3c3f6c2b28265dec7c280045c55cb,ipswich,ipswich,fc46f2ae32a450a8833098b9a4cefa566759e86f088c8d7de419f4eb31cedf45,fc46f2ae32a450a8833098b9a4cefa566759e86f088c8d7de419f4eb31cedf45,71ab415e3bf7a892544f940652e7845980978e31ab947642b1f2b7dc08de2524,0.35,0.75,0.35,0.75,,,,,f1b392a162cd9be4a9c9f4e373d9b6305520d47e8ba65fa00d1eb90f0d81de35
2024/25,MW6,2024-10-19,ipswich,1,0.0986816626743421,0.09922558313157893,0.000543920457236835,0.059104098537500004,0.06000648746250001,0.0009023889250000042,7.540713180497873e-05,False,a045057ef32a8c1dbb7aab1bea76daadc2ad80e1ead009ee505a1716fb774f01,01953b87b09abb7e49f9763ce0c644ae3f6eeb33414218b41853d2d6584548b4,2f6f2a0fd047df3f37b041b9a4be24ceec070ede14d498f64bd65a09d52dc726,4717f6ff71a6d7d05fb2b5fbd35a06c46be3d0ffd4e612303ca3fe70323a686d,2f6f2a0fd047df3f37b041b9a4be24ceec070ede14d498f64bd65a09d52dc726,,ipswich,aeb42e760e050dddf87e67b797ba7dbef73db308f2bc53b88ee0e024f47ef706,7fe81623616dbbb28743db1efd7cb281bfb21b85b6f54a6f42aae58b69a7e97c,87ac4f82c5686b11b6ec339f7b60ca646393243a504a7b224b2746eb0d7b255d,0.35,0.75,0.35,0.75,0.0,1.0,0.0,1.0,f1b392a162cd9be4a9c9f4e373d9b6305520d47e8ba65fa00d1eb90f0d81de35
2024/25,MW10,2024-11-23,ipswich,1,0.0819878557006579,0.0828986375756579,0.0009107818749999885,0.045819520687500004,0.0470240493625,0.0012045286749999967,7.232595610569167e-05,False,514ff5f6a03820a7ad55e0c56e10b8cfde7c04f7903680de5ef14ad459a63fd0,82fcb6af38b4281b444e625c980f39e6532f896e55fa2afd124b3fc5f9b3c663,ba18e96716e66fa7a2b64f0be826d11c584631d7adf1996e608819166c02fd3a,5a971e9c85ee9835dac2477673e29fd13a95fd342d7eb22db7e17d33803db024,ba18e96716e66fa7a2b64f0be826d11c584631d7adf1996e608819166c02fd3a,,ipswich,7b2db004f17f5eb4f2b19d659dc64728b521b988d429d827b79416446cf03ad7,83c06c394eb2464f112e09acbb3dc4354204b06be760084004482041c7c11f33,5e08290d2e9807c25ac50ef4b5544ba41528cad5fa2abffac316da226dc9d2da,0.35,0.7,0.35,0.65,0.0,1.0,0.0,0.0,f1b392a162cd9be4a9c9f4e373d9b6305520d47e8ba65fa00d1eb90f0d81de35
2024/25,MW19,2025-01-06,,0,0.05108912432894736,0.05108912432894736,0.0,0.020303319775000002,0.020303319775000002,0.0,,True,e40255b0d33bcaf702de58f5d479f8a76e3fbecaa282b58242daea52b5e2137d,e40255b0d33bcaf702de58f5d479f8a76e3fbecaa282b58242daea52b5e2137d,873dea46bba1871b75abef94d1ad83ec166b2c60ad564e33a1a03385bce8b806,873dea46bba1871b75abef94d1ad83ec166b2c60ad564e33a1a03385bce8b806,873dea46bba1871b75abef94d1ad83ec166b2c60ad564e33a1a03385bce8b806,,,1875e51d76891c6aab3ef9ab249a7099244e7401a32626b3fc877025b5cb4397,1875e51d76891c6aab3ef9ab249a7099244e7401a32626b3fc877025b5cb4397,06bdc8b7591552478e5862f604f37c2528ef2f69a8ab2211bfe4de37df58983f,0.4,0.85,0.4,0.85,,,,,f1b392a162cd9be4a9c9f4e373d9b6305520d47e8ba65fa00d1eb90f0d81de35
2025/26,MW0,2025-08-15,sunderland,1,0.1355707562105263,0.1365561213519737,0.0009853651414473974,0.11345108686250001,0.11332961134999998,-0.00012147551250002442,0.00021280189114933297,False,06489495b822b721b52b3acb9b33a94b1c9e7d5a4b534fa3261c4eaa7d47e170,36e432198b325cb7f61a336e82f75ae4ec3abc36064e6513514e7ff1fff607de,30c003b4d0155feabefe85027ebb90dbdc8608c1b293ee37c18b575e73c9f7c3,bed992fcaceb81f5c297bd1066abcd76169f2054faa9867c2715972616c6f145,30c003b4d0155feabefe85027ebb90dbdc8608c1b293ee37c18b575e73c9f7c3,,sunderland,e636739448848ae452d43639eec4a2e0745ad585e111d9d90158e5729c8af55f,3cde85e184bde239c8d185bd51b9885ebbd0030c00976577f91b90be1863c723,c0bda789a145e123070db978cef1a75d1d5854e72ab7cb4964f3c231fb3c83b2,0.5,0.85,0.5,0.8,0.0,1.0,0.0,0.0,93747b66b9599ec8f79571e31c08b66fb29c04e79d8b7ff0ab5ccf6d5066afa2
2025/26,MW3,2025-09-13,sunderland,1,0.1345815040394737,0.13430690552631577,-0.00027459851315791983,0.11537009146249999,0.11549948175000001,0.0001293902875000169,0.00019364986347031012,False,b14666b084e15ae9aeb71a9e3090cdd79bcfc098238b566cbda1244b026b8c9c,903f334acac34555b852272be5237c426dda2344e9a2041685a41a5c7d02e948,07b743ab617053c94c410bde850c0799fd2ac5c0bc7edd72bb17dfcc9525c60f,83df846901442df5b53203ead24cf377d9c08d95d389de70bd6aae6176b1c391,07b743ab617053c94c410bde850c0799fd2ac5c0bc7edd72bb17dfcc9525c60f,,sunderland,1e224577785b9f9badff7238ffd179cf8694e4373903d9a6f855aaf6b6a4594c,ea78925d59021ccd30c55dc7614e6fd0d6402fb654d60cab2fad299909d50185,dff943292eb4fe1079bbba46175662f5cc1ce9c0f6562d97a2a9914306c48ea2,0.45,0.85,0.45,0.85,0.0,1.0,0.0,1.0,93747b66b9599ec8f79571e31c08b66fb29c04e79d8b7ff0ab5ccf6d5066afa2
2025/26,MW6,2025-10-18,sunderland,1,0.1202599995986842,0.11992608207894735,-0.0003339175197368538,0.0996280190375,0.09981852982499999,0.00019051078749998673,0.00015585377806360106,False,3654ccee08a9e42adba8dfdb758a4202ca40f6a1496d39c84ef3593cc7447d28,5dca1607c4774a2bb1fb79079548deb4ffa2a9a0e53c0fbe2aa24aaee325e00a,17e9059de1486f47faded41ac49ae3a2f9d5ad960e517150a9efca6381518bfc,deddb2e06fdcbcb57aa5ade165748ac25ee8aa83e1a33fa38c81a1988bf541f9,17e9059de1486f47faded41ac49ae3a2f9d5ad960e517150a9efca6381518bfc,,sunderland,715d456d93f6f799c78ba85e014bab1e1796e18f6b937074e0da3b0e71109889,5236e950ab757b2ec04feb6073b64eb679d01a6b50613cc5d5ffaa40b6411a03,0cd1bb0cdc9a481554d4eedf2d346df8f6685bd38e512a610f91a4abdbd4c745,0.45,0.85,0.45,0.85,0.0,1.0,0.0,1.0,93747b66b9599ec8f79571e31c08b66fb29c04e79d8b7ff0ab5ccf6d5066afa2
2025/26,MW10,2025-11-22,,0,0.09413501013815789,0.09413501013815789,0.0,0.0806259299625,0.0806259299625,0.0,,True,05709e34863000fe30e4e0f64d99e4b57ea0ab4456ed804482752789e7f65ce5,05709e34863000fe30e4e0f64d99e4b57ea0ab4456ed804482752789e7f65ce5,9ae9362199ca400ee6ef02da139e05f919a0ac7007160fadb1d75feae5db7ddb,9ae9362199ca400ee6ef02da139e05f919a0ac7007160fadb1d75feae5db7ddb,9ae9362199ca400ee6ef02da139e05f919a0ac7007160fadb1d75feae5db7ddb,,,cf4961bec47a94fb4db0c3cddb4b4925f8f1a4d0eded53d2814232988e07f649,cf4961bec47a94fb4db0c3cddb4b4925f8f1a4d0eded53d2814232988e07f649,809c6d6111dcffb83b560e89155c886dfe18bd47ba15b40af4767700ab4d3e2d,0.6,0.85,0.6,0.85,,,,,93747b66b9599ec8f79571e31c08b66fb29c04e79d8b7ff0ab5ccf6d5066afa2
2025/26,MW19,2026-01-06,,0,0.07989389930592106,0.07989389930592106,0.0,0.0558741635875,0.0558741635875,0.0,,True,66ef707085f6a74b72ec74b417ebb81dd2a9c317d3860d78f80c6fd8365aec63,66ef707085f6a74b72ec74b417ebb81dd2a9c317d3860d78f80c6fd8365aec63,33e9b7fca34e6720c5244ddcd0d20424d7e0e1ec3c2f0a613d2577d40d13d3d3,33e9b7fca34e6720c5244ddcd0d20424d7e0e1ec3c2f0a613d2577d40d13d3d3,33e9b7fca34e6720c5244ddcd0d20424d7e0e1ec3c2f0a613d2577d40d13d3d3,,,8ad0bf1b18c55b85b0d1a225c8668cbedd71a110f4a58af41219b9c175c0a421,8ad0bf1b18c55b85b0d1a225c8668cbedd71a110f4a58af41219b9c175c0a421,03459e430e50c39903fba3ced89b410dcecc26638b9842d0e576e8d3b1137b72,0.45,0.9,0.45,0.9,,,,,93747b66b9599ec8f79571e31c08b66fb29c04e79d8b7ff0ab5ccf6d5066afa2
